Run ID,Waktu,Tipe Evaluasi,Faithfulness,Answer Relevancy,Context Precision,Context Recall
019faee9-b381-7701-969f-493f6dc089c8,2026-07-29 17:26:19,ragas evaluation,0.8260869565217391,0.7345192105311511,,
019faee7-6a8b-7d62-abe2-3c1f5a333205,2026-07-29 17:23:49,ragas evaluation,,,,
019faee5-e3f2-7a20-be23-9761380a089b,2026-07-29 17:22:09,ragas evaluation,0.09090909090909091,0.0,,
019faecf-458e-7222-b61a-abcfd4a92b62,2026-07-29 16:57:27,ragas evaluation,0.15625,0.9595719599578576,,
019faec8-b1ed-7722-9f5c-51f5d3a5da28,2026-07-29 16:50:16,ragas evaluation,0.7777777777777778,0.9951250910554231,,
019fae63-fcee-7e11-99b2-2447428fa02a,2026-07-29 15:00:16,ragas evaluation,0.6206896551724138,0.9588797934317321,,
019fae56-8619-77a0-a4f2-28cd72653a32,2026-07-29 14:45:33,ragas evaluation,0.32,0.985505145140209,,
019fae33-8e55-71c0-9cef-a56e251a89c6,2026-07-29 14:07:22,ragas evaluation,1.0,0.9939703731518048,,
019fae21-1508-7313-9cdb-dcf3fbff055f,2026-07-29 13:47:11,ragas evaluation,1.0,0.7177315442281215,,
019fae1a-baa5-7051-a546-e5c70806425c,2026-07-29 13:40:15,ragas evaluation,1.0,0.771346929859377,,
019fae08-7f7d-7061-8e4f-97451b16dc72,2026-07-29 13:20:20,ragas evaluation,0.3888888888888889,0.7654141640310828,,
019fade8-0582-7be0-ae7e-640ae19d78ac,2026-07-29 12:44:51,ragas evaluation,0.05555555555555555,0.5501936036662638,,
019fade6-c063-7383-8b56-979f447c1497,2026-07-29 12:43:28,ragas evaluation,0.23809523809523808,0.5717294095462772,,
019fade4-3e8c-7d83-ba7f-b9a39447f0a5,2026-07-29 12:40:44,ragas evaluation,,,,
019fadd4-b3d3-7392-a0ab-0d9bb3159956,2026-07-29 12:23:45,ragas evaluation,,,,
019fadb0-eaa0-7213-a8dc-0882bf6de74a,2026-07-29 11:44:40,ragas evaluation,,,,
019fad59-b42e-7b50-8213-f1588be756b0,2026-07-29 10:09:25,ragas evaluation,,,,
019fad57-3731-7140-9409-b4e36455f1ae,2026-07-29 10:06:41,ragas evaluation,,,,
